taxon_full_name,genus,species,infra_rank,infra_name,hybrid,cultivar,prov_type,orig_lat,orig_long,country,state,county,municipality,locality,assoc_sp,acc_num,lin_num,orig_source,rec_as,num_indiv,germ_type,garden_loc,coll_num,coll_name,coll_year,taxon_verif,notes
Juglans nigra L.,Juglans,nigra,,,,,z,,,United States of America,Illinois,DuPage,,"along the south side of the DuPage River, on grounds of The Morton Arboretum",,266-95,,MORTON,seed,3,Plant,Garden Grounds,,"Linden, PJ van der",1995,,"Plant Descr.: Parent plant is a very large, native tree that predates the Arboretum and probably settlement."
Juglans nigra L.,Juglans,nigra,,,,,w,,,Canada,Ontario,,,Muskoka area,,643-64,,HAMILTON RBG.,seed,1,Plant,Garden Grounds,,,,,
Juglans nigra L.,Juglans,nigra,,,,,w,,,United States of America,Illinois,Logan,,east edge of Elkhart,,207-79,,MORTON-STAFF,seed,2,Plant,Garden Grounds,NI-27,"Schulenberg, RF",1978,,
Juglans nigra L.,Juglans,nigra,,,,,w,,,United States of America,Illinois,Jo Daviess,,along Welch Road,,552-81,,MORTON-STAFF,seed,1,Plant,Garden Grounds,1482,"Hedborn Jr, EA; Lewis, C",1981,,
Malus coronaria (L.) Mill.,Malus,coronaria,,,,,w,,,United States of America,Illinois,Will,,near Merioneth Road in an area being subdivided for Lincolnshire housing development,,182-92,,MORTON-STAFF,seed,3,Plant,Garden Grounds,,"Linden, PJ van der",1992,,
Malus coronaria (L.) Mill.,Malus,coronaria,,,,,w,,,United States of America,Ohio,Ashtabula,,in the North Kingsville Sand Barrens,,42-97,,HOLDEN ARB.,seed,4,Plant,Garden Grounds,,,1996,,
Malus fusca (Raf.) C.K.Schneid.,Malus,fusca,,,,,w,42.033333,-123.333333,United States of America,Oregon,Josephine,,,,267-94,,FORESTFARM ARB. & N.,seed,1,Plant,Garden Grounds,,,,,
Malus ioensis (Wood) Britton,Malus,ioensis,,,,,w,,,United States of America,Illinois,McHenry,,along Leatherleaf Bog Trail in Moraine Hills State Park,,433-81,,MORTON-STAFF,seed,3,Plant,Garden Grounds,1378,"Hedborn Jr, EA; Schulenberg, RF",1981,,
Prunus americana Marshall,Prunus,americana,,,,,w,,,United States of America,Illinois,DuPage,,from the east woods (King's Grove) of the Morton Arboretum,,556-74,,MORTON-STAFF; wild coll'd,plant,1,Plant,Garden Grounds,,"Wason, RR",,,
Prunus americana Marshall,Prunus,americana,,,,,w,,,United States of America,Illinois,Stephenson,,3/4 mi. S. of Lake Le-Aqua-Na State Park,,739-79,,MORTON-STAFF,seed,1,Plant,Garden Grounds,1177,"Hedborn Jr, EA; Schulenberg, RF",1979,,
Prunus americana Marshall,Prunus,americana,,,,,g,,,,,,,,,202-94,,KLEHM N.,plant,3,Plant,Garden Grounds,,,,,
Prunus americana var. lanata (Sudw.) Mack. & Bush,Prunus,americana,var.,lanata,,,w,,,United States of America,Illinois,Winnebago,,"edge of trail, east end Rock Cut State Park",,439-81,,MORTON-STAFF,seed,4,Plant,Garden Grounds,1382,"Hedborn Jr, EA; Schulenberg, RF",1981,,
Prunus americana var. lanata (Sudw.) Mack. & Bush,Prunus,americana,var.,lanata,,,z,,,United States of America,Illinois,Winnebago,,"edge of trail, east end Rock Cut State Park",,157-2021,,MORTON; wild coll'd seed,cutting,18,Plant,Propagation,1382,"Hedborn Jr, EA; Schulenberg, RF",1981,,
Prunus angustifolia Marshall,Prunus,angustifolia,,,,,z,,,United States of America,Arkansas,Stone,,0.4 miles east of Baxter County line along AR 14 R.O.W.,,354-2013,,MORTON-STAFF,cutting,1,Plant,Garden Grounds,,"Clark, RC",1980,,
Prunus depressa Pursh,Prunus,depressa,,,,,z,,,Canada,,,,eastern section,,391-2005,,MORTON from MONTREAL BG.; wild coll'd seed,cutting,3,Plant,Garden Grounds,,,,,
Prunus mexicana S.Watson,Prunus,mexicana,,,,,w,36.53894,-93.84664,United States of America,Missouri,Barry,,"Mark Twain National Forest, along FR 197 (Sugar Camp Scenic Drive), ca. 5.3 mi. e. of Seligman",,428-2012,,DAWES ARB.; wild coll'd seed,plant,2,Plant,Garden Grounds,TDAMOAR11-071,,2011,,
Prunus munsoniana Wight & Hedrick,Prunus,munsoniana,,,,,z,,,United States of America,Kentucky,,,site not noted,,357-2013,,MORTON from BERNHEIM FOR. ARB.,cutting,2,Plant,Garden Grounds,,,,,
Prunus virginiana L.,Prunus,virginiana,,,,,w,,,United States of America,Illinois,LaSalle,,,,507-85,,RIVENDELL BG.,seed,1,Plant,Garden Grounds,,,,,
Prunus virginiana var. melanocarpa (A.Nelson) Sarg.,Prunus,virginiana,var.,melanocarpa,,,w,,,United States of America,Colorado,Costilla,,along Sangre de Cristo Creek east of Fort Garland and west of La Veta Pass along the north side of US-160,,404-86,,MORTON-STAFF,seed,1,Plant,Garden Grounds,,,1986,,
