"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"3416710",,,,"40","Republic of Crimea","22"
"3416711",,,,"40","Republic of Crimea","22"
"3416712",,,,"40","Republic of Crimea","22"
"3416715",,,,"40","Republic of Crimea","21"
"3416717",,,,"40","Republic of Crimea","22"
"3416718",,,,"40","Republic of Crimea","20"
"3416719",,,,"40","Republic of Crimea","21"
"3416720",,,,"40","Republic of Crimea","22"
"3416721",,,,"40","Republic of Crimea","22"
"3416793",,"00020",,"40","Chernivetska obl.","23"
"3416794",,"00015",,"40","Chernivetska obl.","23"
"3416795",,"00012",,"40",,"20"
"3416796",,"00013",,"40","Chernivetska obl.","22"
"3416797",,"00011",,"40","Chernivetska obl.","23"
"3416798",,"00009",,"40",,"22"
"3416799",,"00008",,"40",,"20"
"3416800",,"00006",,"40",,"22"
"3416801",,"00007",,"40",,"20"
"3416802",,"00003",,"40","Chernivetska obl.","21"
"3416803",,"00004",,"40","Chernivetska obl.","23"
"3416804",,"00002",,"40","Chernivetska obl.","23"
"3416805",,,,"40",,"22"
"3416806",,"00001",,"40","Chernivetska obl.","23"
"3416807",,"10068",,"40","Republic of Crimea","21"
"3416808",,"10069",,"40","Republic of Crimea","21"
"3416809",,"10065",,"40","Republic of Crimea","22"
"3416810",,"10066",,"40","Republic of Crimea","22"
"3416811",,"10067",,"40","Republic of Crimea","22"
"3416812",,"09985",,"40","Republic of Crimea","22"
"3416813",,"10063",,"40","Republic of Crimea","22"
"3416814",,"10064",,"40","Republic of Crimea","20"
"3416815",,"09984",,"40","Republic of Crimea","20"
"3416817",,,,"40","Republic of Crimea","22"
"3416818",,,,"40","Republic of Crimea","21"
"3416819",,"09982",,"40",,"22"
"3416820",,"09983",,"40","Republic of Crimea","22"
"3515358",,,,"","Valencia","1"
"3515359",,,,"","Valencia","1"
"3515369",,,,"","Valencia","1"
"3515370",,,,"","Valencia","1"
"3515371",,,,"","Valencia","1"
"3515377",,,,"","Valencia","1"
"3515380",,,,"","Valencia","1"
"3515389",,,,"","Cataluña","1"
"3515390",,,,"","Cataluña","1"
"3515392",,,,"","Cataluña","1"
"3515393",,,,"","Cataluña","1"
"3515394",,,,"","Cataluña","1"
"3515396",,,,"","Cataluña","1"
"3515398",,,,"","Cataluña","1"
"3515401",,,,"","Cataluña","1"
"3515402",,,,"","Cataluña","1"
"3515403",,,,"","Cataluña","1"
"3515404",,,,"","Cataluña","1"
"3515405",,,,"","Cataluña","1"
"3515406",,,,"","Cataluña","1"
"3515407",,,,"","Cataluña","1"
"3515412",,,,"","Extremadura","1"
"3515426",,,,"","Valencia","1"
"3515438",,,,"","Galicia","1"
"3515441",,,,"","Galicia","1"
"3515442",,,,"","Galicia","1"
"3515445",,,,"","Galicia","1"
"3515446",,,,"","Galicia","1"
"3515447",,,,"","Galicia","1"
"3515448",,,,"","Galicia","1"
"3515449",,,,"","Galicia","1"
"3515454",,,,"","Galicia","1"
"3515455",,,,"","Galicia","1"
"3515456",,,,"","Galicia","1"
"3515457",,,,"","Galicia","1"
"3515460",,,,"","Galicia","1"
"3515461",,,,"","Cataluña","1"
"3515462",,,,"","Galicia","1"
"3515463",,,,"","Galicia","1"
"3515464",,,,"","Galicia","1"
"3515465",,,,"","Galicia","1"
"3515466",,,,"","Galicia","1"
"3515467",,,,"","Galicia","1"
"3515468",,,,"","Galicia","1"
"3515470",,,,"","Galicia","1"
"3515471",,,,"","Galicia","1"
"3515472",,,,"","Cataluña","1"
"3515476",,,,"","Cataluña","1"
"3515478",,,,"","Cataluña","1"
"3515479",,,,"","Cataluña","1"
"3515482",,,,"","Valencia","1"
"3515484",,,,"","Valencia","1"
"3515496",,,,"","Cataluña","1"
"3515497",,,,"","Cataluña","1"
"3515499",,,,"","Cataluña","1"
"3515500",,,,"","Cataluña","1"
"3515501",,,,"","Cataluña","1"
"3515503",,,,"","Cataluña","1"
"3515506",,,,"","Cataluña","1"
"3515508",,,,"","Cataluña","1"
"3515509",,,,"","Cataluña","1"
"3515510",,,,"","Cataluña","1"
"3515564",,,,"","Cataluña","1"
"3515565",,,,"","Cataluña","1"
"3515566",,,,"","Cataluña","1"
"3764091",,,,"","Baden","0"
"3822258",,"7439","19880629","10",,"2"
"3905651",,"00063",,"40","Chernivetska obl.","23"
"3910081",,"00062",,"40","Chernivetska obl.","22"
"3910082",,"00061",,"40","Chernivetska obl.","20"
"3910083",,"00060",,"40","Chernivetska obl.","22"
"3910084",,"00059",,"40","Chernivetska obl.","20"
"3910099",,"00109",,"40","Chernivetska obl.","21"
"3910100",,"00108",,"40","Chernivetska obl.","21"
"3910101",,"00107",,"40","Chernivetska obl.","23"
"3910102",,"00106",,"40","Chernivetska obl.","21"
"3910103",,"00105",,"40","Chernivetska obl.","23"
"3910104",,"00104",,"40","Chernivetska obl.","23"
"3910105",,"00103",,"40","Chernivetska obl.","22"
"3910106",,"00102",,"40","Chernivetska obl.","23"
"3910107",,"00101",,"40","Chernivetska obl.","21"
"3910108",,"00100",,"40","Chernivetska obl.","23"
"3910109",,"00099",,"40","Chernivetska obl.","23"
"3910110",,"00097",,"40","Chernivetska obl.","21"
"3910111",,"00098",,"40","Chernivetska obl.","23"
"3910112",,"00096",,"40","Chernivetska obl.","23"
"3910113",,"00094",,"40","Chernivetska obl.","21"
"3910114",,"00095",,"40","Chernivetska obl.","23"
"3910115",,"00092",,"40","Chernivetska obl.","23"
"3910116",,"00093",,"40","Chernivetska obl.","23"
"3910117",,"00091",,"40","Chernivetska obl.","23"
"3910118",,"00090",,"40","Chernivetska obl.","21"
"3910119",,"00088",,"40","Chernivetska obl.","23"
"3910120",,"00089",,"40","Chernivetska obl.","22"
"3910121",,"00087",,"40","Chernivetska obl.","22"
"3910122",,"00085",,"40","Chernivetska obl.","22"
"3910123",,"00086",,"40","Chernivetska obl.","23"
"3910124",,"00084",,"40","Chernivetska obl.","20"
"3910125",,"00083",,"40","Chernivetska obl.","22"
"3910126",,"00081",,"40","Chernivetska obl.","22"
"3910127",,"00082",,"40","Chernivetska obl.","20"
"3910128",,"00080",,"40","Chernivetska obl.","22"
"3910129",,"00079",,"40","Chernivetska obl.","22"
"3910130",,"00078",,"40","Chernivetska obl.","21"
"3910131",,"00077",,"40","Chernivetska obl.","20"
"3910132",,"00076",,"40","Chernivetska obl.","22"
"3910133",,"00075",,"40","Chernivetska obl.","22"
"3910134",,"00072",,"40","Chernivetska obl.","21"
"3910135",,"00074",,"40","Chernivetska obl.","20"
"3910136",,"00071",,"40","Chernivetska obl.","22"
"3910137",,"00070",,"40","Chernivetska obl.","21"
"3910138",,"00068",,"40","Chernivetska obl.","22"
"3910139",,"00069",,"40","Chernivetska obl.","22"
"3910140",,"00067",,"40","Chernivetska obl.","22"
"3910141",,"00066",,"40","Chernivetska obl.","20"
"3910142",,"00065",,"40","Chernivetska obl.","20"
"3910143",,"00064",,"40","Chernivetska obl.","20"
"3914198",,"04495",,"40","Republic of Crimea","22"
"3914199",,"04493",,"40","Republic of Crimea","22"
"3914200",,"04492",,"40","Republic of Crimea","22"
"3914301",,"00174","1958----","",,"22"
"3914302",,"00172","1958----","",,"23"
"3914303",,"00173","1963----","",,"23"
"3914304",,"00171","1958----","",,"20"
"3914306",,"00170","1977----","",,"21"
"3938736",,"999-04",,"",,"32"
"3938737",,"999-05",,"",,"31"
"3938740",,"999-06",,"",,"33"
"3938742",,"999-02",,"",,"33"
"3938744",,"999-01",,"",,"33"
"3938746",,"039-03",,"22","Le Mont-sur-Lausanne","33"
"3938748",,"815",,"",,"24"
"3956696",,"955-03",,"21","Léchelles","35"
"3962954","C480","IDA0100","20071109","","Canarias;Santa Cruz de Tenerife;Santa Ursula","28"
"3962959","C480","IDA0095","20071108","","Canarias;Santa Cruz de Tenerife;El Sauzal","28"
"3963058","C480","IDA0073","20070919","","Canarias;Santa Cruz de Tenerife;Tacoronte","27"
"3963067","C480","IDA0062","20070919","","Canarias;Santa Cruz de Tenerife;Tacoronte","28"
"3963076","C480","IDA0053","20070911","","Canarias;Santa Cruz de Tenerife;La Matanza de Acentejo","28"
"3963078","C480","IDA0051","20070911","","Canarias;Santa Cruz de Tenerife;La Matanza de Acentejo","27"
"3963079","C480","IDA0052","20070911","","Canarias;Santa Cruz de Tenerife;La Matanza de Acentejo","28"
"3963080","C480","IDA0050","20070911","","Canarias;Santa Cruz de Tenerife;La Matanza de Acentejo","28"
"3963119","C480","IDA0031","20070829","23","Canarias;Santa Cruz de Tenerife;La Matanza de Acentejo;La Vica","29"
"3963150","C480","IDA0015","20070808","","Canarias;Santa Cruz de Tenerife;La Matanza de Acentejo;La Morra","28"
"3963315","C482","JHG0070","20060224","10","Canarias;Santa Cruz de Tenerife;Buenavista del Norte;Teno Alto","29"
"3963405","C471","APM0068","20040706","22","Canarias;Santa Cruz de Tenerife;San Cristobal de la Laguna;Camino Mina","28"
"3963558","C472","CEMC0084","20040823","10","Canarias;Santa Cruz de Tenerife;La Orotava;La Florida","28"
"3963562","C472","CEMC0082","20040821","23","Canarias;Santa Cruz de Tenerife;La Orotava;Bebedero Alto","29"
"3963637","C472","CEMC0074","20040821","23","Canarias;Santa Cruz de Tenerife;La Orotava;Pinolere","23"
"3963642","C472","CEMC0069","20040821","23","Canarias;Santa Cruz de Tenerife;La Orotava;Pinolere","23"
"3963653","C472","CEMC0054","20040814","23","Canarias;Santa Cruz de Tenerife;La Orotava;Hoya Duran. Pinolere","23"
"3963666","C472","CEMC0042","20040811","23","Canarias;Santa Cruz de Tenerife;La Orotava;Mamio. Choza Mendoza","23"
"3963672","C472","CEMC0033","20040802","23","Canarias;Santa Cruz de Tenerife;La Orotava;La Florida Alta","23"
"3963676","C472","CEMC0032","20040802","23","Canarias;Santa Cruz de Tenerife;La Orotava;La Florida Alta","23"
"3963699","C472","CEMC0008","20040716","23","Canarias;Santa Cruz de Tenerife;La Orotava;Pinolere","23"
"3963718","C476","DAM0035","20040630","22","Canarias;Santa Cruz de Tenerife;Buenavista del Norte;Las Portelas","22"
"4005734",,,,"",,"27"
"4005740",,,,"",,"33"
"4005744",,,,"",,"25"
"4005812",,,,"",,"26"
"4005855",,,,"",,"27"
"4007195",,,,"",,"26"
"4024723",,"733",,"",,"25"
"4024727",,"34288",,"",,"25"
"4024730",,"45343",,"",,"24"
"4024731",,"171517",,"",,"25"
"4024732",,"731",,"",,"25"
"4024733",,"808",,"",,"25"
"4024734",,"843",,"",,"24"
"4024735",,"53677",,"",,"25"
"4024736",,"807",,"",,"25"
"4024737",,"737",,"",,"25"
"4024738",,"736",,"",,"25"
"4024739",,"878",,"",,"24"
"4024740",,"163699",,"",,"24"
"4024741",,"704",,"",,"25"
"4024742",,"55858",,"",,"25"
"4024745",,"848",,"",,"24"
"4024746",,"707",,"",,"24"
"4024747",,,,"",,"23"
"4024748",,"703",,"",,"24"
"4024749",,"802",,"",,"24"
"4024750",,"935",,"",,"25"
"4024751",,"84022",,"",,"25"
"4024752",,"738",,"",,"24"
"4024753",,"716",,"",,"24"
"4024754",,"38847",,"",,"24"
"4024755",,"868",,"",,"25"
"4024756",,"701",,"",,"25"
"4024757",,"860",,"",,"24"
"4024758",,"723",,"",,"25"
"4024759",,"33962",,"",,"24"
"4024760",,"739",,"",,"25"
"4024761",,"849",,"",,"25"
"4024762",,"734",,"",,"25"
"4024763",,"859",,"",,"25"
"4024764",,"837",,"",,"25"
"4024765",,"857",,"",,"24"
"4024766",,"856",,"",,"25"
"4024767",,,,"",,"23"
"4024768",,"128180",,"",,"25"
"4024769",,"171550",,"",,"25"
"4024770",,"724",,"",,"25"
"4024771",,"115359",,"",,"25"
"4024772",,"830",,"",,"25"
"4024773",,"846",,"",,"25"
"4024774",,"861",,"",,"25"
"4024775",,"780",,"",,"25"
"4024776",,"708",,"",,"25"
"4024777",,"91938",,"",,"24"
"4024778",,"135007",,"",,"25"
"4024779",,,,"",,"32"
"4024780",,"750-01",,"",,"34"
"4024781",,"750-01",,"",,"34"
"4024782",,"121-01",,"",,"33"
"4024783",,"840",,"",,"25"
"4024784",,"999-05",,"",,"34"
"4024785",,"039-01",,"",,"34"
"4024786",,"487-02",,"",,"31"
"4024787",,"150-01",,"",,"32"
"4024788",,"380-01",,"",,"33"
"4024789",,"440-02",,"",,"34"
"4024790",,"209-01",,"",,"34"
"4024791",,"024-01",,"",,"33"
"4024792",,"390-02",,"",,"34"
"4024793",,"216-02",,"",,"33"
"4024794",,"504-01",,"",,"34"
"4024795",,"503-01",,"",,"33"
"4024796",,"043-01",,"",,"31"
"4024797",,"468-01",,"",,"34"
"4024798",,"638-01",,"",,"34"
"4024799",,"012-01",,"",,"33"
"4024800",,"014-03",,"",,"33"
"4024801",,"160-01",,"",,"34"
"4024802",,"286-02",,"",,"34"
"4024803",,"816",,"",,"24"
"4024804",,"291-01",,"",,"33"
"4024805",,"039-02",,"",,"34"
"4024806",,"614-01",,"",,"32"
"4024807",,"858-01",,"",,"34"
"4024808",,"560-02",,"",,"31"
"4024809",,"018-01",,"",,"34"
"4024810",,"973-01",,"",,"34"
"4024811",,"312-01",,"",,"34"
"4024812",,"062-01",,"",,"34"
"4024813",,"506-01",,"",,"34"
"4024814",,,,"",,"22"
"4024815",,,,"",,"22"
"4024816",,"334-01",,"",,"34"
"4024817",,"082-02",,"",,"34"
"4024818",,"904-01",,"",,"32"
"4024819",,"186-01",,"",,"34"
"4024820",,"420-02",,"",,"34"
"4024821",,"999-02",,"",,"34"
"4024822",,"127-01",,"",,"33"
"4024823",,"494-01",,"",,"33"
"4024825",,"799-01",,"",,"33"
"4024826",,"815-01",,"",,"34"
"4024827",,"999-04",,"",,"34"
"4024828",,"219-03",,"",,"34"
"4024829",,"612-01",,"",,"34"
"4024832",,"936",,"",,"34"
"4024833",,"171225",,"",,"24"
"4024834",,"814",,"",,"25"
"4024836",,"823",,"",,"24"
"4024838",,"1109",,"",,"34"
"4024839",,"818",,"",,"25"
"4024840",,"1122",,"",,"32"
"4024845",,"1045",,"",,"32"
"4024851",,"146407",,"",,"24"
"4024853",,"824",,"",,"25"
"4024856",,"1040",,"",,"32"
"4024859",,"815",,"",,"25"
"4024860",,"936",,"",,"25"
"4024862",,"920",,"",,"24"
"4024863",,"1104",,"",,"34"
"4024865",,"796",,"",,"25"
"4024867",,"916",,"",,"25"
"4024869",,"725",,"",,"24"
"4024872",,"817",,"",,"24"
"4024874",,"822",,"",,"25"
"4024877",,"1118",,"",,"32"
"4024880",,"506-01",,"12","Vollèges","33"
"4024881",,"123-04",,"22","Cottens VD","35"
"4024882",,"039-01",,"23","Le Mont-sur-Lausanne","35"
"4024883",,"024-01",,"",,"1"
"4024884",,"082-02",,"23","Oulens-sous-Echallens","33"
"4024885",,"390-02",,"25","Blonay","35"
"4024886",,"638-01",,"61","Ausserberg","35"
"4024888",,"591-02",,"61","Riddes","33"
"4024889",,"150-01",,"61","Allaman","35"
"4024890",,"506-01",,"12","Vollèges","35"
"4024891",,"440-02",,"61","Fenalet","35"
"4024893",,"039-01",,"23","Le Mont-sur-Lausanne","33"
"4024894",,"186-01",,"23","Arzier","33"
"4024895",,"012-01",,"22","Crissier","33"
"4024897",,"815-01",,"21","Sâles (Gruyère)","35"
"4024898",,"614-01",,"22","Nax","35"
"4024901",,"380-01",,"12","Ecoteaux","34"
"4024902",,"380-01",,"12","Ecoteaux","35"
"4024903",,"123-04",,"22","Cottens VD","34"
"4024904",,"494-01",,"22","Aire-la-Ville","34"
"4024905",,"614-01",,"22","Nax","34"
"4024906",,"062-01",,"22","Lonay","35"
"4024907",,"024-01",,"21","Prangins","33"
"4024908",,"497-01",,"61","Bellevue","34"
"4024910",,"612-01",,"22","Ayent","33"
"4024911",,"497-01",,"61","Bellevue","35"
"4024912",,"390-02",,"25","Blonay","35"
"4024913",,"127-01",,"22","Monnaz","33"
"4024914",,"160-01",,"61","Bursins","35"
"4024915",,"062-01",,"22","Lonay","35"
"4024916",,"420-02",,"23","Corbeyrier","33"
"4024917",,"487-02",,"22","Russin","35"
"4024918",,"209-01",,"61","Moiry VD","35"
"4024919",,"012-01",,"22","Crissier","35"
"4024920",,"082-02",,"23","Oulens-sous-Echallens","35"
"4024921",,"629-02",,"61","Ried-Brig","35"
"4024923",,"440-02",,"61","Fenalet","35"
"4024924",,"468-01",,"23","Cartigny","35"
"4024926",,"186-01",,"23","Arzier","33"
"4024927",,"420-02",,"23","Corbeyrier","35"
"4024928",,"487-02",,"22","Russin","35"
"4024929",,"494-01",,"22","Aire-la-Ville","33"
"4024930",,"504-01",,"21","Le Locle","35"
"4024931",,"835-01",,"61","Pont-la-Ville","35"
