taxon_full_name,prov_type,orig_lat,orig_long,country,state,county,municipality,locality,assoc_sp,acc_num,lin_num,orig_source,num_indiv,germ_type,garden_loc,coll_num,,,,,,,,,,,,,,,,,,,,
Carya illinoinensis,G,,,,,,,,,92448,,nursery Waasland,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya laciniosa,W,,,US,NC,Henderson,,,,12418,," collected Ron Lance, #08271, 10 Oct 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya laciniosa,W,,,US,NC,Henderson,,,,12420,," collected Ron Lance, #08271, 10 Oct 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya myristiciformis,G,,,,,,,,,03241,,nursery Niehues,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya myristiciformis,G,,,,,,,,,03298,,nursery Niehues,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya myristiciformis,W,,,US,AL,Dallas,,,,12019,,"sd., wld collected, #08277,  coll by Wayne Webb, Nov 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya myristiciformis,W,,,US,AL,Dallas,,,,12020,,"sd., wld collected, #08277,  coll by Wayne Webb, Nov 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya myristiciformis,W,N34 19.565,W85 10.317,US,GA,Floyd,,"along U.S. Hwy 27, north of Rome. 
Numerous trees in calcareous flatwoods",,13171,," wld collected Ron Lance, #08263",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovalis,W,,,US,NC,Rutherford,,"Chimney Rock Park, large trees near 
Maintenance Building and Rocky Broad River.  Typical in all respects of the species.    ",,12005,,"sd., wld collected Ron Lance, #08247, 11 Oct. 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovalis,W,,,US,NC,Rutherford,,"Chimney Rock Park, large trees near 
Maintenance Building and Rocky Broad River.  Typical in all respects of the species.    ",,12006,,"sd., wld collected Ron Lance, #08247, 11 Oct. 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovalis,W,,,US,NC,Rutherford,,"Chimney Rock Park, large trees near 
Maintenance Building and Rocky Broad River.  Typical in all respects of the species.    ",,12007,,"sd., wld collected Ron Lance, #08247, 11 Oct. 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovalis,W,,,US,NC,Rutherford,,"Chimney Rock Park, large trees near 
Maintenance Building and Rocky Broad River.  Typical in all respects of the species.    ",,13148,,"sd., wld collected Ron Lance, #08247, 11 Oct. 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovalis,W,,,US,NC,Rutherford,,"Chimney Rock Park, large trees near 
Maintenance Building and Rocky Broad River.  Typical in all respects of the species.    ",,14222,,"sd., wld collected Ron Lance, #08247, 11 Oct. 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovalis,W,,,US,NC,Rutherford,,"Chimney Rock Park, large trees near 
Maintenance Building and Rocky Broad River.  Typical in all respects of the species.    ",,14384,,"sd., wld collected Ron Lance, #08247, 11 Oct. 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovata,G,,,,,,,,,02269,,seed exchange Arboretum Tervuren par. 16,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovata,W,,,US,NC,Henderson,,"Bearwallow Mountain. Abundant trees 
around fields near summit.   No other Carya species within this population",,13167,," wld collected Ron Lance, #08098, 26 Oct 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovata,W,,,US,NC,Jackson,,"Balsam Mountain Preserve, near Fern Gap   Elevation ca. 4300 ft.   ",,14131,,"wld collected Ron Lance, #08244, 12 Oct. 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovata,W,,,US,AL,Jackson,," Union Cemetary,There are two trees in a remnant woodland at the site of a church built in 1835. The building no longer stands. The nuts on these trees are small ",,14373,,"wld collected Jack Johnston, ",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovata,W,,,US,AL,Jackson,," Union Cemetary,There are two trees in a remnant woodland at the site of a church built in 1835. The building no longer stands. The nuts on these trees are small ",,14385,,"wld collected Jack Johnston, ",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovata,W,,,US,AL,Jackson,," Union Cemetary,There are two trees in a remnant woodland at the site of a church built in 1835. The building no longer stands. The nuts on these trees are small ",,15105,,"wld collected Jack Johnston, ",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovata,G,,,,,,,,,84137,,Nursery Esveld,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovata,G,,,,,,,,,86179,,gift family De Belder,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovata,G,,,,,,,,,86238,,Nursery Esveld,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovata,G,,,,,,,,,91263,,SD.MORRIS ARB.SD.EXCH.#11 ,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya ovata,G,,,,,,,,,99215,,"sd 4767 Willowwood ,seed exchange",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya pallida,W,N35 25.803,W82 14.690,US,NC,Rutherford,,"Chimney Rock Park, along Discovery Trail, 
Numerous trees in vicinity.  Poor seed production this year",,13160,,"wld collected Ron Lance, #08257, 11 Oct 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya pallida,W,N35 25.803,W82 14.690,US,NC,Rutherford,,"Chimney Rock Park, along Discovery Trail, 
Numerous trees in vicinity.  Poor seed production this year",,14140,,"wld collected Ron Lance, #08257, 11 Oct 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya tomentosa,W,,,US,NC,Buncombe,Asheville, West Asheville Baptist Church,,12404,,"gift Charles Snyers, wild collected seed, Ron Lance L-21, Oct 2006",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya tomentosa,W,,,US,NC,Jackson,,"Balsam Mountain Preserve, Dark Ridge Camp.  
Several trees in vicinity",,13159,,"wld collected Ron Lance, #08269, 27 Oct 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya tomentosa,W,,,US,NC,Buncombe,,"West Asheville Baptist Church, along property 
line at small parking lot.  Native to site, about 100 ft. tall. ",,13161,,"sd wld collected Ron Lance, #08264, 25 Sept 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Carya tomentosa,W,,,US,NC,Jackson,,"Balsam Mountain Preserve, along Sugarloaf 
Road, near Stillhouse Gap Rd jct. Small tree of 5 inches diameter",,14143,,"sd wld collected Ron Lance, #08265, 9 Oct 2008",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Corylus americana,W,41°20’57.83”N,70°43’17.41”W,US,MA,,Chillmark," Fulling Mill Brook Property owned by  Martha’s 
Vineyard  Land Bank,",,13164,,"gift Polly Hill Arboretum, raised from seed wild collected 
from many plants by Tom Clark, Sept 2009   , Elevation 44'",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Corylus americana,G,,,,,,,,,91648,,nursery Waasland 818-87 ,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
