taxon_full_name,genus,species,infra_rank,infra_name,hybrid,cultivar,prov_type,orig_lat,orig_long,country,state,county,municipality,locality,assoc_sp,acc_num,lin_num,orig_source,rec_as,num_indiv,germ_type,garden_loc,coll_num,coll_name,coll_year,taxon_verif,notes,
Juglans microcarpa,JUGLANS,microcarpa,,,, ,G,,, , , ,, ,,118441,118441,"Woodlanders, Inc.",Plant,1,Plant,12-E1XX, , , ,, ,
Juglans nigra,JUGLANS,nigra,,,, ,G,,, , , ,, ,,3111,3111,unknown,Unknown,1,Plant,20, , , ,, ,
Juglans nigra,JUGLANS,nigra,,,, ,W,34.42928,97.14368,US,Oklahoma,Murray,,Hwy. 77 just across from of Turner Falls Park exit,,136535,136535,"Tim Thibault, HBG Staff",Seed,1,Plant,25-N,1793,"Thibault, Tim",2019,,"Moderate - steep E slope, gravel, Coomes Ranch Conglomerate, in association with Juniperus, Fraxinus, Cerciis, Parthenocissus, Smilax.",
Prunus americana,PRUNUS,americana,,,, ,W,36.07718,-86.3151,US,Tennessee,Wilson,,Cedars of Lebanon State Park along 5 Mile Trail,,106414,106414,HNT Staff Expedition to SE USA,Seed,30,Seed, ,2697,Michael Denslow,2011,,Mixed hardwoods and Juniperus community.  Collected under Scientific Study Permit 2011-022.,
Prunus americana,PRUNUS,americana,,,, ,W,36.09136,-87.02483,US,Tennessee,Davidson,,"Harpeth River State Park, Hidden Lake",,106442,106442,HNT Staff Expedition to SE USA,Seed,47,Seed, ,2725,Michael Denslow,2011,,"Associated taxa include: Quercus, Carya, Acer, Gleditsia, Smilax, Passiflora, Albizia, Vitis, Platanus, , Rhamnus, Prunus, Lonicera, Ostrya & Populus.  Collected under Scientific Study Permit 2011-022.",
Prunus caroliniana,PRUNUS,caroliniana,,,, , ,,, , , ,, ,,3039,3039,unknown,Unknown,4,Plant,"12, 21, 5-8, 7-N", , , ,, ,
Prunus caroliniana 'Compacta',PRUNUS,caroliniana,,,,Compacta,G,,, , , ,, ,,26130,26130,Norman's Nurser,Plant,1,Plant,12-B12, , , ,, ,
Prunus caroliniana 'Compacta',PRUNUS,caroliniana,,,,Compacta, ,,, , , ,, ,,42579,42579,Norman's Nurser,Plant,1,Plant,6-May, , , ,, ,
Prunus glandulosa,PRUNUS,glandulosa,,,, , ,,, , , ,, ,,78182,78182,L.E. Cooke Co.,Plant,1,Plant,25-N, , , ,, ,
Prunus glandulosa 'Sinensis',PRUNUS,glandulosa,,,,Sinensis,G,,, , , ,, ,,87712,87712,San Gabriel Nur,Plant,1,Plant,25-N, , , ,, ,
Prunus glandulosa 'Sinensis',PRUNUS,glandulosa,,,,Sinensis,G,,, , , ,, ,,97764,97764,San Gabriel Nur,Plant,1,Plant,12-B11, , , ,, ,
Prunus ilicifolia,PRUNUS,ilicifolia,,,, , ,,, , , ,, ,,3045,3045,unknown,Unknown,1,Plant,7-N, , , ,, ,
Prunus ilicifolia,PRUNUS,ilicifolia,,,, ,G,,, , , ,, ,,125390,125390,Tree of Life Nu,Plant,1,Plant,19-Jun, , , ,, ,
Prunus lyonii,PRUNUS,lyonii,,,, , ,,, , , ,, ,,123555,123555,Tree of Life Nu,Plant,2,Plant,"3-NW, 6-8", , , ,, ,
Prunus mexicana,PRUNUS,mexicana,,,, ,G,,, , , ,, ,,95264,95264,L.E. Cooke Co.,Plant,4,Plant,12-RSP, , , ,, ,
Prunus virginiana var. demissa,PRUNUS,virginiana,var.,demissa,, , ,,, , , ,, ,,137430,137430,Suncrest,Plant,1,Plant,25-N, , , ,, ,
