taxon_full_name,genus,species,infra_rank,infra_name,hybrid,cultivar,prov_type,orig_lat,orig_long,country,state,county,municipality,locality,assoc_sp,acc_num,lin_num,orig_source,rec_as,num_indiv,germ_type,garden_loc,coll_num,coll_name,coll_year,taxon_verif,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asimina triloba (L.) Dunal.,Asimina,triloba,,,,,Z,A,Asimina triloba,,,,,,,2021-0005,,United States Botanic Garden,Seedling (plant),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seedling from Accession # 2000-0938.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USBG,,United States Botanic Garden,,United States Botanic Garden,,Seedling (plant),,,,,,,,,,,,,,2021-04-12,P,Planting,,,,,,,,,,,,,PF•,PF,Production Facility,,,,,,,Existing,I,Inspected,2021-04-12,amj,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allowed,Allowed,,,Allowed,Allowed,,,Allowed,Allowed,,,,,,,,,,,,,,,47567831-2536-41f2-9226-1e9fc44b289e,67a60e72-abaa-4b48-afcf-11a3ba4bf1a8,,jal,5/3/2021 9:34:13 AM,jal,5/3/2021 9:34:13 AM,[vascular plants],Equisetopsida,Magnoliidae,Magnolianae,Magnoliales,Annonaceae,,,,,,pawpaw,,,,,,,,,,,,,pawpaw,pawpaw (English),pawpaw
Asimina triloba (L.) Dunal.,Asimina,triloba,,,,,Z,A,Asimina triloba,,,,,,,2021-0006,,United States Botanic Garden,Seedling (plant),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seedling from Accession # 2000-0938.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USBG,,United States Botanic Garden,,United States Botanic Garden,,Seedling (plant),,,,,,,,,,,,,,2021-04-12,P,Planting,,,,,,,,,,,,,PF•,PF,Production Facility,,,,,,,Existing,I,Inspected,2021-04-12,amj,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allowed,Allowed,,,Allowed,Allowed,,,Allowed,Allowed,,,,,,,,,,,,,,,97c856c7-9029-4325-a57e-6ce65289316e,cb723d5f-0dd0-4402-8bdf-f681ae0671c5,,jal,5/3/2021 9:34:54 AM,jal,5/3/2021 9:34:54 AM,[vascular plants],Equisetopsida,Magnoliidae,Magnolianae,Magnoliales,Annonaceae,,,,,,pawpaw,,,,,,,,,,,,,pawpaw,pawpaw (English),pawpaw
Asimina triloba (L.) Dunal.,Asimina,triloba,,,,,Z,A,Asimina triloba,,,,,,,2021-0007,,United States Botanic Garden,Seedling (plant),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seedling from Accession # 2000-0938.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USBG,,United States Botanic Garden,,United States Botanic Garden,,Seedling (plant),,,,,,,,,,,,,,2021-04-12,P,Planting,,,,,,,,,,,,,PF•,PF,Production Facility,,,,,,,Existing,I,Inspected,2021-04-12,amj,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allowed,Allowed,,,Allowed,Allowed,,,Allowed,Allowed,,,,,,,,,,,,,,,66a0b701-31e1-4955-97b6-90c0b02d6df4,437288a3-30cd-4e14-8703-946083530a19,,jal,5/3/2021 9:35:22 AM,jal,5/3/2021 9:35:23 AM,[vascular plants],Equisetopsida,Magnoliidae,Magnolianae,Magnoliales,Annonaceae,,,,,,pawpaw,,,,,,,,,,,,,pawpaw,pawpaw (English),pawpaw
Asimina triloba (L.) Dunal.,Asimina,triloba,,,,,Z,A,Asimina triloba,,,,,,,2021-0008,,United States Botanic Garden,Seedling (plant),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seedling from Accession # 2000-0938.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USBG,,United States Botanic Garden,,United States Botanic Garden,,Seedling (plant),,,,,,,,,,,,,,2021-04-12,P,Planting,,,,,,,,,,,,,PF•,PF,Production Facility,,,,,,,Existing,I,Inspected,2021-04-12,amj,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allowed,Allowed,,,Allowed,Allowed,,,Allowed,Allowed,,,,,,,,,,,,,,,3bbfb4df-ae36-4f37-aef2-0b75c30caaa7,bb666141-ea6c-4ce3-8eea-858681b2f8ef,,jal,5/3/2021 9:36:00 AM,jal,5/3/2021 9:36:01 AM,[vascular plants],Equisetopsida,Magnoliidae,Magnolianae,Magnoliales,Annonaceae,,,,,,pawpaw,,,,,,,,,,,,,pawpaw,pawpaw (English),pawpaw
Asimina triloba (L.) Dunal.,Asimina,triloba,,,,,Z,A,Asimina triloba,,,,,,,2021-0009,,United States Botanic Garden,Seedling (plant),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seedling from Accession # 2000-0938.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USBG,,United States Botanic Garden,,United States Botanic Garden,,Seedling (plant),,,,,,,,,,,,,,2021-04-12,P,Planting,,,,,,,,,,,,,PF•,PF,Production Facility,,,,,,,Existing,I,Inspected,2021-04-12,amj,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allowed,Allowed,,,Allowed,Allowed,,,Allowed,Allowed,,,,,,,,,,,,,,,9b5b2e8a-ccb3-4138-a849-8a89e26651f9,1296da99-38b0-4fa1-979e-a4baf5930e89,,jal,5/3/2021 9:36:47 AM,jal,5/3/2021 9:36:47 AM,[vascular plants],Equisetopsida,Magnoliidae,Magnolianae,Magnoliales,Annonaceae,,,,,,pawpaw,,,,,,,,,,,,,pawpaw,pawpaw (English),pawpaw
Carya laciniosa (Michx.f.) Loudon,Carya,laciniosa,,,,,G,A,Carya laciniosa,,,,,,,2021-0010,,United States Botanic Garden,Seedling (plant),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,2019-09-19,,,,#1128; Secondary source: Bold Spring Nursery.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W.H. BOYER,,"W.H. Boyer, Lanscape Services",,"W.H. Boyer, Landscaped Services",,Plant (plant),,,,,,,,,,,,,,2016-05,P,Planting,,,,,,,,,,,,,BP•,BP,Bartholdi Park,,,,,,,Existing,RD,Received,2016-05,jal,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allowed,Allowed,,,Allowed,Allowed,,,Allowed,Allowed,,,,,,,,,,,,,,,c07f6759-0a75-4ef1-a2b0-75b74cc261c9,d6f34de3-f93a-441c-bebc-2cda6169bf77,,jal,9/19/2019 9:50:32 AM,jal,9/19/2019 9:50:33 AM,[vascular plants],Equisetopsida,Magnoliidae,Rosanae,Fagales,Juglandaceae,,,,,,,,,,,,,,,,,,,,,
Castanea pumila (L.) Miller,Castanea,pumila,,,,,G,A,Castanea pumila,,,,,,,2019-0871,,"W.H. Boyer, Lanscape Services",Plant (plant),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,0000,,,,Recd. as: Castanea pumila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEARLY NATIVES NURSERY,,"Nearly Natives Nursery, Inc.",,Nearly Natives Nursery,,Plant (plant),,,,,,,,,,,,,,2007-04-10,P,Planting,,,,,,,,,,,,,NG•,NG,The National Garden,,22,,,,,Existing,I,Inspected,2012-03-02,kpw,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allowed,Allowed,,,Allowed,Allowed,,,Allowed,Allowed,,,,,,,,,,,,,,,B6C77AAF-47A5-47AD-900F-D988D6BC510F,22AB1E59-6037-47FA-9283-43398CB3501D,,kpw,4/16/2007 12:00:00 AM,kpw,4/16/2007 12:00:00 AM,[vascular plants],Equisetopsida,Magnoliidae,Rosanae,Fagales,Fagaceae,,,,,,Chinquapin,,,,,,,,,,,,,Chinquapin,Chinquapin (English),Chinquapin
Castanea pumila (L.) Miller,Castanea,pumila,,,,,U,A,Castanea pumila,,,,,,,2007-0421,,"Nearly Natives Nursery, Inc.",Plant (plant),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,0000,,,,Recd. as: Castanea pumila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GARDENS UNLIMITED,,Gardens Unlimited,,Gardens Unlimited,,Plant (plant),,,,,,,,,,,,,,2014-06,P,Planting,,,,,,,,,,,,,NG•,NG,The National Garden,,,,,,,Existing,I,Inspected,2016-09-11,jal,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allowed,Allowed,,,Allowed,Allowed,,,Allowed,Allowed,,,,,,,,,,,,,,,735A8F3A-3607-49E8-B392-1B7A051ED01E,2BD455D5-ED91-48AD-B4B1-F4FE3765553D,,jal,9/11/2016 12:00:00 AM,jal,9/11/2016 12:00:00 AM,[vascular plants],Equisetopsida,Magnoliidae,Rosanae,Fagales,Fagaceae,,,,,,Chinquapin,,,,,,,,,,,,,Chinquapin,Chinquapin (English),Chinquapin
Castanea pumila (L.) Miller,Castanea,pumila,,,,,U,A,Castanea pumila,,,,,,,2016-0479,,Gardens Unlimited,Plant (plant),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,0000,,,,Recd. as: Castanea pumila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GARDENS UNLIMITED,,Gardens Unlimited,,Gardens Unlimited,,Plant (plant),,,,,,,,,,,,,,2014-06,P,Planting,,,,,,,,,,,,,NG•,NG,The National Garden,,,,,,,Existing,I,Inspected,2016-09-11,jal,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allowed,Allowed,,,Allowed,Allowed,,,Allowed,Allowed,,,,,,,,,,,,,,,9517F670-F2FE-4073-AD46-C7A4EE6B94D6,8F4E5CB8-065A-4A72-876D-A9A2951840A5,,jal,9/11/2016 12:00:00 AM,jal,9/11/2016 12:00:00 AM,[vascular plants],Equisetopsida,Magnoliidae,Rosanae,Fagales,Fagaceae,,,,,,Chinquapin,,,,,,,,,,,,,Chinquapin,Chinquapin (English),Chinquapin
Corylus americana Marsh.,Corylus,americana,,,,,G,A,Corylus americana,,,,,,,2016-0480,,Gardens Unlimited,Plant (plant),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,0000,,,,Recd. as: Corylus americana,,,,,,,Recd.size: 1 gal.,,,,,,,,,,,,,,,,,,,,,,,,,,,NATURAL LANDSCAPES,,Natural Landscapes Nursery,,Natural Landscapes Nursery,,Plant (plant),,,,,,,,,,,,,,2008-05-02,P,Planting,,,,,,,,,,,,,NG•,NG,The National Garden,,27,,,,,Existing,P,Planted,2008-05-02,wbm,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allowed,Allowed,,,Allowed,Allowed,,,Allowed,Allowed,,,,,,,,,,,,,,,D948B921-75FF-4EF5-919D-7173B3B7C79F,55E1F278-A18D-4439-AB6E-E8D7DC8B985E,,kpw,9/16/2008 12:00:00 AM,kpw,9/16/2008 12:00:00 AM,[vascular plants],Equisetopsida,Magnoliidae,Rosanae,Fagales,Betulaceae,,,,,,American hazelnut,,,,,,,,,,,,,American hazelnut,American hazelnut (English),American hazelnut
