taxon_full_name,genus,species,infra_rank,infra_name,hybrid,cultivar,prov_type,orig_lat,orig_long,country,state,county,municipality,locality,assoc_sp,acc_num,lin_num,orig_source,rec_as,num_indiv,germ_type,garden_loc,coll_num,coll_name,coll_year,taxon_verif,notes,,,,,,
Juglans nigra,Juglans,nigra,,,X,,G,,,,,,,,,K09-93-380,,Arboretum Mustila 1993 expedition,Seed,3,Plant,Arboretum,,,,,from cultivated plants at Minnesota Landscape Arboretum,,,,,,
Juglans nigra,Juglans,nigra,,,,,U,,,,,,,,,N/A,,,Seed,3,Plant,Arboretum,,,,,,,,,,,
Juglans nigra,Juglans,nigra,,,,,G,,,,,,,,,K09-10-793,,"Rick Durand, Prairie Shade Nursery Research Farm",Seed,2,Plant,Arboretum,,,,,from cultivated plants at Morden Research Station,,,,,,
Juglans nigra,Juglans,nigra,,,,,G,,,,,,,,,K09-12-417,,"Rick Durand, Prairie Shade Nursery Research Farm",Seed,1,Plant,Nursery Grounds,,,,,"from 2nd generation of Morden trees at Portage la Prairie, MB",,,,,,
Juglans nigra,Juglans,nigra,,,,,G,,,,,,,,,K09-12-433,,Domaine Joly-de-Lotbiniere,Seed,ca. 20,Plant,Nursery Grounds,,,,,"from the famous plantation of Domaine Joly-de-Lotbiniére near St. Croix, Quebec",,,,,,
Juglans nigra,Juglans,nigra,,,,,G,,,,,,,,,K09-17-527,,Arboretum Mustila 2017 expedition,Seed,9,Plant,Nursery Grounds,,,,,"Garden trees at Valley Bend & Job, WV",,,,,,
Juglans nigra,Juglans,nigra,,,,,G,,,,,,,,,K09-17-528,,Arboretum Mustila 2017 expedition,Seed,5,Plant,Nursery Grounds,,,,,"early-ripening garden tree at Harman, WV",,,,,,
Juglans nigra,Juglans,nigra,,,,,W,,,USA,West Virginia,Grant Co.,Hopeville,,,K09-17-550,,Arboretum Mustila 2017 expedition,Seed,ca. 30,Plant,Nursery Grounds,,,,,,,,,,,
Prunus americana,Prunus,americana,,,,,W,44°50'N,93°30'W,USA,Minnesota,Mound,,,,K09-93-278,,Arboretum Mustila 1993 expedition,Seed,3,Plant,Arboretum,,,,,,,,,,,
Prunus serotina var. serotina,Prunus,serotina,var.,serotina,,,U,,,,,,,,,N/A,,,unknown,4,Plant,Arboretum,,,,,Old trees from ca. 1910's-1930's,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
