taxon_full_name,genus,species,infra_rank,infra_name,hybrid,cultivar,prov_type,orig_lat,orig_long,country,state,county,municipality,locality,assoc_sp,acc_num,lin_num,orig_source,rec_as,num_indiv,germ_type,garden_loc,coll_num,coll_name,coll_year,taxon_verif,notes
Carya aquatica (F.Michx.) Elliott,Carya,aquatica,,,,,W,31.979639,-87.266389,United States of America,AL,Wilcox Co.,Camden,"Lumber property pond site, ca. 1.6 mi. s.e. of town of Camden.",,D2013-0587,,Dawes Arboretum,Seed,1,Plant,Nursery,TDAAL13-020,"Larson, R. A. (Dawes Arboretum)",2013-09-30,Not determined,
Carya tomentosa (Lam.) Nutt.,Carya,tomentosa,,,,,W,35.30981,-78.32392,United States of America,NC,Johnston County,,n. of Bentonville Battlefield,,D2014-0714,,Dawes Arboretum,Seed,4,Plant,Garden Grounds,TDAGA14-071,"Larson, R. A. (Dawes Arboretum); Brackman, B.",2014-09-26,Not determined,
Prunus maritima Marshall,Prunus,maritima,,,,,W,41.351058,-70.794531,United States of America,MA,Dukes County,Aquinnah,"Martha's Vineyard, near coastline n. of Lobsterville Rd., n. of town of Aquinnah",,D2014-0895,,"Polly Hill Arboretum, West Tisbury, MA  02575",Seed,5,Plant,Garden Grounds,s. n.,"Johems, Ian & Erin Hepfner",2014-08-28,Not determined,
Prunus maritima Marshall,Prunus,maritima,,,,,W,41.351058,-70.794531,United States of America,MA,Dukes County,Aquinnah,"Martha's Vineyard, near coastline n. of Lobsterville Rd., n. of town of Aquinnah",,D2014-0895,,"Polly Hill Arboretum, West Tisbury, MA  02575",Seed,1,Plant,Nursery,s. n.,"Johems, Ian & Erin Hepfner",2014-08-28,Not determined,
Diospyros virginiana 'Mitchellena',Diospyros,virginiana,,,,'Mitchellena',G,,,,,,,,,D2015-0278,,"Univ of Missouri Southwest Research Center, Ag. Exp. Station, College of Agriculture, Food and Natural Resources, Mt. Vernon, MO 65712",Graft,1,Plant,Garden Grounds,,,,Not determined,
Carya illinoinensis (Wangenh.) K.Koch,Carya,illinoinensis,,,,,G,39.860779,-82.562664,United States of America,OH,Fairfield County,Batlimore,"1225 Canal Rd., Baltimore, OH 43105",,D2015-0842,,"Grube, Don & Rosemary, Johnstown, OH  43031",Seed,2,Plant,Nursery,,,,Not determined,
Asimina triloba (Glasshouse selection),Asimina,triloba,,,,(Glasshouse selection),G,,,,,,,,,D2016-0156,,Dannaher Landscaping,Graft,1,Plant,Garden Grounds,,,,Not determined,
Corylus americana Walter,Corylus,americana,,,,,W,34.920212,-83.169426,United States of America,SC,Oconee County,Pine Mountain,"Along Rt. 28 at bridge over Chatooga River, ca. 2.75 km s.e. of town of Pine Mountain.",,D2016-0614,,Dawes Arboretum,Seed,5,Plant,Garden Grounds,TDANCGA16-045,"Larson, R. A. (Dawes Arboretum); Brackman, B.; Augsburger, S.",2016-09-21,Not determined,
Juglans microcarpa Berland.,Juglans,microcarpa,,,,,W,37.2948,-98.9563,United States of America,KS,Barber County,Medicine Lodge,"Alexander Ranch, 18.5 miles west of Medicine Lodge","Shallow valley/lowland with small perennial stream flow, fairly wide relatively shrub-free riparian areas and a few Celtis, UImus and other trees intermixed with the Juglans microcarpa.   There is some grazing/browsing on these private ranchlands.",D2017-0031,TBREA 2017-131,Brenton Arboretum,Seed,3,Plant,Nursery,,"Roth, Stan",2016-11-22,Not determined,
Juglans microcarpa Berland.,Juglans,microcarpa,,,,,W,37.436183,-99.78915,United States of America,KS,Clark County,Ashland,"Couch Ranch, ca. 28km n. of Ashland","The tree is on the fringe of the floodplain of Simmons Creek north of Clark State Fishing Lake in northern Clark County, Kansas. It is a scattered tree savannah with other walnut trees, cottonwoods and elm.",D2017-0032,TBREA 2017-133,Brenton Arboretum,Seed,1,Plant,Nursery,,"Brunson, Ken",2016-12-13,Not determined,
Asimina triloba 'NC1',Asimina,triloba,,,,'NC1',G,,,,,,,,,D2017-0259,,Gee Farms,Graft,3,Plant,Nursery,,,,Not determined,
Diospyros virginiana 'JN5' Magic Fountain™,Diospyros,virginiana,,,,'JN5',G,,,,,,,,,D2017-0268,,"Heritage Seedlings, Inc.",Plant,2,Plant,Garden Grounds,,,,Not determined,
Asimina triloba 'Sue',Asimina,triloba,,,,'Sue',G,,,,,,,,,D2017-0305,,"Powell, Ronald, Cincinatti, OH 45241",Graft,1,Plant,Nursery,,,,Not determined,
Asimina triloba 'Rebecca's Gold',Asimina,triloba,,,,'Rebecca's Gold',G,,,,,,,,,D2017-0306,,"Powell, Ronald, Cincinatti, OH 45241",Graft,1,Plant,Nursery,,,,Not determined,
Asimina triloba 'Overleese',Asimina,triloba,,,,'Overleese',G,,,,,,,,,D2017-0307,,"Powell, Ronald, Cincinatti, OH 45241",Graft,1,Plant,Nursery,,,,Not determined,
Asimina triloba 'PA-Golden 2',Asimina,triloba,,,,'PA-Golden 2',G,,,,,,,,,D2017-0308,,"Powell, Ronald, Cincinatti, OH 45241",Graft,1,Plant,Nursery,,,,Not determined,
Carya cordiformis (Wangenh.) K.Koch,Carya,cordiformis,,,,,W,,,United States of America,GA,Towns Co.,,Chattahoochee National Forest,"Assoc. w/ Pyrularia pubera, Tilia americana, Rhododendron maximum, Polystichum acrostichoides, Acer saccharinum, Castanea dentata, Quercus alba, Quercus rubra, Halesia carolina, Betula lenta, Oxydendrum arboreum, Carpinus caroliniana",D2017-0617,704-2016,Arnold Arboretum,Plant,3,Plant,Nursery,SAPPE-024,"Robert Dowell, Jenna Zukswert, Thomas Clark; Johnson, Jack",2016-09-27,Not determined,
Castanea ozarkensis Ashe,Castanea,ozarkensis,,,,,W,35.72282,-92.94967,United States of America,AR,Pope Co.,,"Richland Creek Campground, Ozark Nat. For., along Falling Water Rd. (CR. 1205).","Assoc. w/ Rhododendron prinophyllum, Hamamelis vernalis & Ostrya virginiana.",D2017-0688,I C-2,Dawes Arboretum,Seed,2,Plant,Nursery,TDAAR17-004,"Larson, R. A.; Ardrey, D. H. (Dawes Arboretum); Tony Anderson",2017-09-08,Not determined,
Asimina triloba (Glasshouse selection),Asimina,triloba,,,,(Glasshouse selection),G,,,,,,,,,D2018-0097,,Glasshouse Works,Graft,4,Plant,Nursery,,,,Not determined,
